id,created_at,restaurant_name,city,state,scores,reviewer_id,comment
28,2023-10-27T16:45:00Z,Olive Garden,New York,NY,5,28,"Not the best Italian, but it's affordable."
29,2023-10-27T17:00:00Z,Red Lobster,Orlando,FL,7,29,"Decent seafood, good for a casual meal."
30,2023-10-27T17:15:00Z,Texas Roadhouse,Dallas,TX,8,30,"Good steak and a lively atmosphere."
31,2023-10-27T17:30:00Z,The Capital Grille,Washington,D.C.,9,31,"Excellent steak and service, great for a special occasion."
32,2023-10-27T17:45:00Z,Joe's Crab Shack,Miami,FL,7,32,"Fun seafood restaurant with a casual vibe."
33,2023-10-27T18:00:00Z,P.F. Chang's,San Francisco,CA,6,33,"Americanized Chinese food, nothing special."
34,2023-10-27T18:15:00Z,The Melting Pot,Denver,CO,8,34,"Fun fondue experience, great for a group."
35,2023-10-27T18:30:00Z,Benihana,New York,NY,7,35,"Entertaining teppanyaki experience."
36,2023-10-27T18:45:00Z,Ruth's Chris Steak House,Chicago,IL,9,36,"High-quality steak, but expensive."
37,2023-10-27T19:00:00Z,Morton's The Steakhouse,Los Angeles,CA,8,37,"Another great steakhouse option."
38,2023-10-27T19:15:00Z,Fogo de Chão,Dallas,TX,9,38,"Excellent Brazilian steakhouse."
39,2023-10-27T19:30:00Z,Carrabba's Italian Grill,Houston,TX,7,39,"Decent Italian food, good for families."
40,2023-10-27T19:45:00Z,Maggiano's Little Italy,Chicago,IL,8,40,"Good Italian-American food, large portions."
41,2023-10-28T10:00:00Z,The Breakfast Klub,Houston,TX,9,41,"Amazing breakfast, long wait times."
42,2023-10-28T10:15:00Z,Snooze: an A.M. Eatery,Denver,CO,8,42,"Creative and delicious breakfast options."
43,2023-10-28T10:30:00Z,Hash House A Go Go,Las Vegas,NV,7,43,"Huge portions, good for a hearty breakfast."
44,2023-10-28T10:45:00Z,Waffle House,Atlanta,GA,6,44,"Classic diner breakfast, cheap and cheerful."
45,2023-10-28T11:00:00Z,IHOP,Los Angeles,CA,5,45,"Pancakes are okay, but nothing special."
46,2023-10-28T11:15:00Z,Denny's,New York,NY,4,46,"Typical diner food, not the best quality."
47,2023-10-28T11:30:00Z,Black Bear Diner,San Francisco,CA,7,47,"Good diner food, comfortable atmosphere."
48,2023-10-28T11:45:00Z,Perkins Restaurant & Bakery,Chicago,IL,6,48,"Decent diner food, good pie selection."
49,2023-10-28T12:00:00Z,Cracker Barrel,Nashville,TN,7,49,"Southern comfort food, good for families."
50,2023-10-28T12:15:00Z,Friendly's,Boston,MA,6,50,"Classic ice cream and diner food."
51,2023-10-28T12:30:00Z,The Cheesecake Factory,Los Angeles,CA,7,51,"Huge portions, good for sharing."
52,2023-10-28T12:45:00Z,Olive Garden,New York,NY,6,52,"Decent Italian, good for a quick meal."
53,2023-10-28T13:00:00Z,Red Lobster,Orlando,FL,7,53,"Good seafood, nice atmosphere."
54,2023-10-28T13:15:00Z,Texas Roadhouse,Dallas,TX,8,54,"Great steak and sides, fun atmosphere."
55,2023-10-28T13:30:00Z,The Capital Grille,Washington,D.C.,9,55,"Excellent steak and service, worth the price."
56,2023-10-28T13:45:00Z,Joe's Crab Shack,Miami,FL,7,56,"Fun seafood restaurant, good for groups."
57,2023-10-28T14:00:00Z,P.F. Chang's,San Francisco,CA,6,57,"Americanized Chinese food, decent but not authentic."
58,2023-10-28T14:15:00Z,The Melting Pot,Denver,CO,8,58,"Fun fondue experience, great for a date night."
59,2023-10-28T14:30:00Z,Benihana,New York,NY,7,59,"Entertaining teppanyaki experience, good for families."
60,2023-10-28T14:45:00Z,Ruth's Chris Steak House,Chicago,IL,9,60,"High-quality steak, excellent service."
61,2023-10-28T15:00:00Z,Morton's The Steakhouse,Los Angeles,CA,8,61,"Another great steakhouse option, good for business dinners."
62,2023-10-28T15:15:00Z,Fogo de Chão,Dallas,TX,9,62,"Excellent Brazilian steakhouse, all-you-can-eat meat."
63,2023-10-28T15:30:00Z,Carrabba's Italian Grill,Houston,TX,7,63,"Decent Italian food, good for families."
64,2023-10-28T15:45:00Z,Maggiano's Little Italy,Chicago,IL,8,64,"Good Italian-American food, large portions."
65,2023-10-28T16:00:00Z,The Breakfast Klub,Houston,TX,9,65,"Amazing breakfast, worth the wait."
66,2023-10-28T16:15:00Z,Snooze: an A.M. Eatery,Denver,CO,8,66,"Creative and delicious breakfast options."
67,2023-10-28T16:30:00Z,Hash House A Go Go,Las Vegas,NV,7,67,"Huge portions, good for a hearty breakfast."
68,2023-10-28T16:45:00Z,Waffle House,Atlanta,GA,6,68,"Classic diner breakfast, cheap and cheerful."
69,2023-10-28T17:00:00Z,IHOP,Los Angeles,CA,5,69,"Pancakes are okay, but nothing special."
70,2023-10-28T17:15:00Z,Denny's,New York,NY,4,70,"Typical diner food, not the best quality."
71,2023-10-28T17:30:00Z,Black Bear Diner,San Francisco,CA,7,71,"Good diner food, comfortable atmosphere."
72,2023-10-28T17:45:00Z,Perkins Restaurant & Bakery,Chicago,IL,6,72,"Decent diner food, good pie selection."
73,2023-10-28T18:00:00Z,Cracker Barrel,Nashville,TN,7,73,"Southern comfort food, good for families."
74,2023-10-28T18:15:00Z,Friendly's,Boston,MA,6,74,"Classic ice cream and diner food."
75,2023-10-29T10:00:00Z,Local Burger Joint,Austin,TX,8,75,"Great local burgers, fresh ingredients."
76,2023-10-29T10:15:00Z,Spicy Noodle House,San Francisco,CA,9,76,"Delicious spicy noodles, authentic flavors."
77,2023-10-29T10:30:00Z,Cozy Cafe,Seattle,WA,7,77,"Charming cafe, good for coffee and pastries."
78,2023-10-29T10:45:00Z,Family-Friendly Italian,New York,NY,8,78,"Good Italian food, kid-friendly atmosphere."
79,2023-10-29T11:00:00Z,Upscale Sushi Bar,Los Angeles,CA,9,79,"High-quality sushi, excellent service."
80,2023-10-29T11:15:00Z,Trendy Brunch Spot,Chicago,IL,8,80,"Popular brunch spot, delicious food and cocktails."
81,2023-10-29T11:30:00Z,Authentic Mexican Taqueria,San Antonio,TX,9,81,"Amazing tacos, great value."
82,2023-10-29T11:45:00Z,Romantic French Bistro,New Orleans,LA,8,82,"Charming bistro, perfect for a date night."
83,2023-10-29T12:00:00Z, Lively Irish Pub,Boston,MA,7,83,"Fun pub atmosphere, good for drinks and pub fare."
84,2023-10-29T12:15:00Z,Southern Comfort Food Restaurant,Charleston,SC,8,84,"Delicious Southern food, friendly service."
85,2023-10-29T12:30:00Z,Seafood Shack on the Beach,Miami,FL,9,85,"Fresh seafood, beautiful ocean views."
86,2023-10-29T12:45:00Z,Farm-to-Table Restaurant,Portland,OR,8,86,"Fresh and local ingredients, creative dishes."
87,2023-10-29T13:00:00Z,Vegan Cafe,Los Angeles,CA,7,87,"Good vegan options, healthy and delicious."
88,2023-10-29T13:15:00Z,Gluten-Free Bakery,New York,NY,8,88,"Delicious gluten-free pastries and bread."
89,2023-10-29T13:30:00Z,Late-Night Diner,Chicago,IL,6,89,"Open late, good for a late-night snack."
90,2023-10-29T13:45:00Z,Food Truck Park,Austin,TX,8,90,"Variety of food trucks, fun atmosphere."
91,2023-10-29T14:00:00Z,Fine Dining Restaurant with a View,Seattle,WA,9,91,"Excellent food and service, stunning views."
92,2023-10-29T14:15:00Z,Hidden Gem in the City,New York,NY,8,92,"Small and cozy restaurant, delicious food."
93,2023-10-29T14:30:00Z,Popular Pizzeria with a Long Wait,Chicago,IL,9,93,"Worth the wait, amazing pizza."
94,2023-10-29T14:45:00Z,Steakhouse with a Lively Bar,Dallas,TX,8,94,"Great steak and cocktails, fun atmosphere."
95,2023-10-29T15:00:00Z,Seafood Restaurant with a Waterfront Patio,San Francisco,CA,9,95,"Fresh seafood, beautiful views."
96,2023-10-29T15:15:00Z,Cozy Italian Restaurant with Outdoor Seating,New York,NY,8,96,"Charming restaurant, perfect for a romantic dinner."
97,2023-10-29T15:30:00Z,Trendy Asian Fusion Restaurant,Los Angeles,CA,7,97,"Creative dishes, good for a special occasion."
98,2023-10-29T15:45:00Z,Casual Mexican Restaurant with a Great Happy Hour,Denver,CO,8,98,"Delicious Mexican food, good deals during happy hour."
99,2023-10-29T16:00:00Z,Family-Friendly Restaurant with a Playground,Orlando,FL,7,99,"Good food and a fun place for kids."
100,2023-10-29T16:15:00Z,Brewery with a Large Beer Selection and Good Food,San Diego,CA,8,100,"Great beer and food, fun atmosphere."
